Number of batches:  53220
[train] epoch=0 step=4700 loss=2.2075 lr=9.80e-04
[train] epoch=0 step=4750 loss=2.1400 lr=9.80e-04
[train] epoch=0 step=4800 loss=2.1008 lr=9.80e-04
[train] epoch=0 step=4850 loss=2.1225 lr=9.80e-04
[train] epoch=0 step=4900 loss=2.1384 lr=9.80e-04
[train] epoch=0 step=4950 loss=2.2477 lr=9.80e-04
[train] epoch=0 step=5000 loss=2.2630 lr=9.80e-04
[train] epoch=0 step=5050 loss=2.2930 lr=9.80e-04
[train] epoch=0 step=5100 loss=2.1230 lr=9.80e-04
[train] epoch=0 step=5150 loss=2.1375 lr=9.80e-04
[train] epoch=0 step=5200 loss=2.0907 lr=9.80e-04
[train] epoch=0 step=5250 loss=2.0597 lr=9.80e-04
[train] epoch=0 step=5300 loss=2.1287 lr=9.80e-04
[train] epoch=0 step=5350 loss=2.2644 lr=9.80e-04
[train] epoch=0 step=5400 loss=2.2091 lr=9.80e-04
[train] epoch=0 step=5450 loss=2.2034 lr=9.80e-04
[train] epoch=0 step=5500 loss=2.0941 lr=9.80e-04
[train] epoch=0 step=5550 loss=2.1575 lr=9.80e-04
[train] epoch=0 step=5600 loss=2.1398 lr=9.80e-04
[train] epoch=0 step=5650 loss=2.0627 lr=9.80e-04
[train] epoch=0 step=5700 loss=2.1472 lr=9.80e-04
[train] epoch=0 step=5750 loss=2.0895 lr=9.80e-04
[train] epoch=0 step=5800 loss=2.1558 lr=9.80e-04
[train] epoch=0 step=5850 loss=2.1367 lr=9.80e-04
[train] epoch=0 step=5900 loss=2.1990 lr=9.80e-04
[train] epoch=0 step=5950 loss=2.1510 lr=9.80e-04
[train] epoch=0 step=6000 loss=2.1909 lr=9.80e-04
[train] epoch=0 step=6050 loss=2.1207 lr=9.80e-04
[train] epoch=0 step=6100 loss=2.1077 lr=9.80e-04
[train] epoch=0 step=6150 loss=2.1640 lr=9.80e-04
[train] epoch=0 step=6200 loss=2.1963 lr=9.80e-04
[train] epoch=0 step=6250 loss=2.1260 lr=9.80e-04
[train] epoch=0 step=6300 loss=2.1452 lr=9.80e-04
[train] epoch=0 step=6350 loss=2.2476 lr=9.80e-04
[train] epoch=0 step=6400 loss=2.0886 lr=9.80e-04
[train] epoch=0 step=6450 loss=2.2928 lr=9.80e-04
[train] epoch=0 step=6500 loss=2.2334 lr=9.80e-04
[train] epoch=0 step=6550 loss=2.1911 lr=9.80e-04
[train] epoch=0 step=6600 loss=2.1681 lr=9.80e-04
[train] epoch=0 step=6650 loss=2.1486 lr=9.80e-04
[train] epoch=0 step=6700 loss=2.2295 lr=9.80e-04
[train] epoch=0 step=6750 loss=2.1702 lr=9.80e-04
[train] epoch=0 step=6800 loss=2.1306 lr=9.80e-04
[train] epoch=0 step=6850 loss=2.2006 lr=9.80e-04
[train] epoch=0 step=6900 loss=2.1912 lr=9.80e-04
[train] epoch=0 step=6950 loss=2.1893 lr=9.80e-04
[train] epoch=0 step=7000 loss=2.2287 lr=9.80e-04
[train] epoch=0 step=7050 loss=2.2034 lr=9.80e-04
[train] epoch=0 step=7100 loss=2.1096 lr=9.80e-04
[train] epoch=0 step=7150 loss=2.1790 lr=9.80e-04
[train] epoch=0 step=7200 loss=2.1926 lr=9.80e-04
[train] epoch=0 step=7250 loss=2.1074 lr=9.80e-04
[train] epoch=0 step=7300 loss=2.1551 lr=9.80e-04
[train] epoch=0 step=7350 loss=2.1323 lr=9.80e-04
[train] epoch=0 step=7400 loss=2.2110 lr=9.80e-04
[train] epoch=0 step=7450 loss=2.2062 lr=9.80e-04
[train] epoch=0 step=7500 loss=2.1738 lr=9.80e-04
[train] epoch=0 step=7550 loss=2.1950 lr=9.80e-04
[train] epoch=0 step=7600 loss=2.2054 lr=9.80e-04
[train] epoch=0 step=7650 loss=2.1458 lr=9.80e-04
[train] epoch=0 step=7700 loss=2.2003 lr=9.80e-04
[train] epoch=0 step=7750 loss=2.0621 lr=9.80e-04
[train] epoch=0 step=7800 loss=2.2416 lr=9.80e-04
[train] epoch=0 step=7850 loss=2.1978 lr=9.80e-04
[train] epoch=0 step=7900 loss=2.1020 lr=9.80e-04
[train] epoch=0 step=7950 loss=2.1207 lr=9.80e-04
[train] epoch=0 step=8000 loss=2.0757 lr=9.80e-04
[train] epoch=0 step=8050 loss=2.1803 lr=9.80e-04
[train] epoch=0 step=8100 loss=2.2212 lr=9.80e-04
[train] epoch=0 step=8150 loss=2.1223 lr=9.80e-04
[train] epoch=0 step=8200 loss=2.0030 lr=9.80e-04
[train] epoch=0 step=8250 loss=2.0093 lr=9.80e-04
[train] epoch=0 step=8300 loss=2.1914 lr=9.80e-04
[train] epoch=0 step=8350 loss=2.1169 lr=9.80e-04
[train] epoch=0 step=8400 loss=2.1456 lr=9.80e-04
[train] epoch=0 step=8450 loss=2.1932 lr=9.80e-04
[train] epoch=0 step=8500 loss=2.1391 lr=9.80e-04
[train] epoch=0 step=8550 loss=2.1930 lr=9.80e-04
[train] epoch=0 step=8600 loss=2.2214 lr=9.80e-04
[train] epoch=0 step=8650 loss=2.2295 lr=9.80e-04
[train] epoch=0 step=8700 loss=2.1466 lr=9.80e-04
[train] epoch=0 step=8750 loss=2.2064 lr=9.80e-04
[train] epoch=0 step=8800 loss=2.1415 lr=9.80e-04
[train] epoch=0 step=8850 loss=2.1198 lr=9.80e-04
[train] epoch=0 step=8900 loss=2.0350 lr=9.80e-04
[train] epoch=0 step=8950 loss=2.1633 lr=9.80e-04
[train] epoch=0 step=9000 loss=2.2164 lr=9.80e-04
[train] epoch=0 step=9050 loss=2.0702 lr=9.80e-04
[train] epoch=0 step=9100 loss=2.0936 lr=9.80e-04
[train] epoch=0 step=9150 loss=2.0765 lr=9.80e-04
[train] epoch=0 step=9200 loss=2.1738 lr=9.80e-04
[train] epoch=0 step=9250 loss=2.2314 lr=9.80e-04
[train] epoch=0 step=9300 loss=2.2227 lr=9.80e-04
[train] epoch=0 step=9350 loss=2.2114 lr=9.80e-04
[train] epoch=0 step=9400 loss=2.1518 lr=9.80e-04
[train] epoch=0 step=9450 loss=2.1918 lr=9.80e-04
[train] epoch=0 step=9500 loss=2.1579 lr=9.80e-04
[train] epoch=0 step=9550 loss=2.1683 lr=9.80e-04
[train] epoch=0 step=9600 loss=2.2050 lr=9.80e-04
[train] epoch=0 step=9650 loss=2.2037 lr=9.80e-04
[train] epoch=0 step=9700 loss=2.1368 lr=9.80e-04
[train] epoch=0 step=9750 loss=2.1543 lr=9.80e-04
[train] epoch=0 step=9800 loss=2.1232 lr=9.80e-04
[train] epoch=0 step=9850 loss=2.0613 lr=9.80e-04
[train] epoch=0 step=9900 loss=2.2307 lr=9.80e-04
[train] epoch=0 step=9950 loss=2.0991 lr=9.80e-04
[train] epoch=0 step=10000 loss=2.1081 lr=9.80e-04
[train] epoch=0 step=10050 loss=2.2356 lr=9.80e-04
[train] epoch=0 step=10100 loss=2.2173 lr=9.80e-04
[train] epoch=0 step=10150 loss=2.1154 lr=9.80e-04
[train] epoch=0 step=10200 loss=2.0935 lr=9.80e-04
[train] epoch=0 step=10250 loss=2.1594 lr=9.80e-04
[train] epoch=0 step=10300 loss=2.1613 lr=9.80e-04
[train] epoch=0 step=10350 loss=2.2336 lr=9.80e-04
[train] epoch=0 step=10400 loss=2.1883 lr=9.80e-04
[train] epoch=0 step=10450 loss=2.2165 lr=9.80e-04
[train] epoch=0 step=10500 loss=2.1620 lr=9.80e-04
[train] epoch=0 step=10550 loss=2.2329 lr=9.80e-04
[train] epoch=0 step=10600 loss=2.1870 lr=9.80e-04
[train] epoch=0 step=10650 loss=2.1326 lr=9.80e-04
[train] epoch=0 step=10700 loss=2.0908 lr=9.80e-04
[train] epoch=0 step=10750 loss=2.1664 lr=9.80e-04
[train] epoch=0 step=10800 loss=2.0977 lr=9.80e-04
[train] epoch=0 step=10850 loss=2.1524 lr=9.80e-04
[train] epoch=0 step=10900 loss=2.2267 lr=9.80e-04
[train] epoch=0 step=10950 loss=2.2811 lr=9.80e-04
[train] epoch=0 step=11000 loss=2.1000 lr=9.80e-04
[train] epoch=0 step=11050 loss=2.1889 lr=9.80e-04
[train] epoch=0 step=11100 loss=2.1423 lr=9.80e-04
[train] epoch=0 step=11150 loss=2.1016 lr=9.80e-04
[train] epoch=0 step=11200 loss=2.2154 lr=9.80e-04
[train] epoch=0 step=11250 loss=2.1862 lr=9.80e-04
[train] epoch=0 step=11300 loss=2.1354 lr=9.80e-04
[train] epoch=0 step=11350 loss=2.2148 lr=9.80e-04
[train] epoch=0 step=11400 loss=2.1897 lr=9.80e-04
[train] epoch=0 step=11450 loss=2.0969 lr=9.80e-04
[train] epoch=0 step=11500 loss=1.9973 lr=9.80e-04
[train] epoch=0 step=11550 loss=2.1317 lr=9.80e-04
[train] epoch=0 step=11600 loss=2.2694 lr=9.80e-04
[train] epoch=0 step=11650 loss=1.9712 lr=9.80e-04
[train] epoch=0 step=11700 loss=2.2267 lr=9.80e-04
[train] epoch=0 step=11750 loss=2.2491 lr=9.80e-04
[train] epoch=0 step=11800 loss=2.1918 lr=9.80e-04
[train] epoch=0 step=11850 loss=2.0871 lr=9.80e-04
[train] epoch=0 step=11900 loss=2.0842 lr=9.80e-04
[train] epoch=0 step=11950 loss=2.2293 lr=9.80e-04
[train] epoch=0 step=12000 loss=2.1524 lr=9.80e-04
[train] epoch=0 step=12050 loss=2.2975 lr=9.80e-04
[train] epoch=0 step=12100 loss=2.2074 lr=9.80e-04
[train] epoch=0 step=12150 loss=2.1712 lr=9.80e-04
[train] epoch=0 step=12200 loss=2.0846 lr=9.80e-04
[train] epoch=0 step=12250 loss=2.0765 lr=9.80e-04
[train] epoch=0 step=12300 loss=2.1505 lr=9.80e-04
[train] epoch=0 step=12350 loss=2.1340 lr=9.80e-04
[train] epoch=0 step=12400 loss=2.0871 lr=9.80e-04
[train] epoch=0 step=12450 loss=2.1989 lr=9.80e-04
[train] epoch=0 step=12500 loss=2.1785 lr=9.80e-04
[train] epoch=0 step=12550 loss=2.1224 lr=9.80e-04
[train] epoch=0 step=12600 loss=2.2077 lr=9.80e-04
[train] epoch=0 step=12650 loss=2.1097 lr=9.80e-04
[train] epoch=0 step=12700 loss=2.1252 lr=9.80e-04
[train] epoch=0 step=12750 loss=2.1694 lr=9.80e-04
[train] epoch=0 step=12800 loss=2.2135 lr=9.80e-04
[train] epoch=0 step=12850 loss=2.2028 lr=9.80e-04
[train] epoch=0 step=12900 loss=2.2082 lr=9.80e-04
[train] epoch=0 step=12950 loss=2.1906 lr=9.80e-04
[train] epoch=0 step=13000 loss=2.1863 lr=9.80e-04
[train] epoch=0 step=13050 loss=2.1826 lr=9.80e-04
[train] epoch=0 step=13100 loss=2.1022 lr=9.80e-04
[train] epoch=0 step=13150 loss=2.2029 lr=9.80e-04
[train] epoch=0 step=13200 loss=2.0976 lr=9.80e-04
[train] epoch=0 step=13250 loss=2.1836 lr=9.80e-04
[train] epoch=0 step=13300 loss=2.1691 lr=9.80e-04
[train] epoch=0 step=13350 loss=2.1966 lr=9.80e-04
[train] epoch=0 step=13400 loss=2.2763 lr=9.80e-04
[train] epoch=0 step=13450 loss=2.0842 lr=9.80e-04
[train] epoch=0 step=13500 loss=2.1480 lr=9.80e-04
[train] epoch=0 step=13550 loss=2.1372 lr=9.80e-04
[train] epoch=0 step=13600 loss=2.1347 lr=9.80e-04
[train] epoch=0 step=13650 loss=2.1377 lr=9.80e-04
[train] epoch=0 step=13700 loss=2.1016 lr=9.80e-04
[train] epoch=0 step=13750 loss=2.1014 lr=9.80e-04
[train] epoch=0 step=13800 loss=2.1280 lr=9.80e-04
[train] epoch=0 step=13850 loss=2.2070 lr=9.80e-04
[train] epoch=0 step=13900 loss=2.1376 lr=9.80e-04
[train] epoch=0 step=13950 loss=2.2422 lr=9.80e-04
[train] epoch=0 step=14000 loss=2.1641 lr=9.80e-04
[train] epoch=0 step=14050 loss=2.1526 lr=9.80e-04
[train] epoch=0 step=14100 loss=2.2391 lr=9.80e-04
[train] epoch=0 step=14150 loss=2.2046 lr=9.80e-04
[train] epoch=0 step=14200 loss=2.1734 lr=9.80e-04
[train] epoch=0 step=14250 loss=2.1029 lr=9.80e-04
[train] epoch=0 step=14300 loss=2.0507 lr=9.80e-04
[train] epoch=0 step=14350 loss=2.1762 lr=9.80e-04
[train] epoch=0 step=14400 loss=2.1501 lr=9.79e-04
[train] epoch=0 step=14450 loss=2.0839 lr=9.79e-04
[train] epoch=0 step=14500 loss=2.1610 lr=9.79e-04
[train] epoch=0 step=14550 loss=2.1805 lr=9.79e-04
[train] epoch=0 step=14600 loss=2.0593 lr=9.79e-04
[train] epoch=0 step=14650 loss=2.2347 lr=9.79e-04
[train] epoch=0 step=14700 loss=2.2119 lr=9.79e-04
[train] epoch=0 step=14750 loss=2.2530 lr=9.79e-04
[train] epoch=0 step=14800 loss=2.0751 lr=9.79e-04
[train] epoch=0 step=14850 loss=2.1241 lr=9.79e-04
[train] epoch=0 step=14900 loss=2.1078 lr=9.79e-04
[train] epoch=0 step=14950 loss=2.0503 lr=9.79e-04
[train] epoch=0 step=15000 loss=2.0456 lr=9.79e-04
[train] epoch=0 step=15050 loss=2.2842 lr=9.79e-04
[train] epoch=0 step=15100 loss=2.1759 lr=9.79e-04
[train] epoch=0 step=15150 loss=2.1926 lr=9.79e-04
[train] epoch=0 step=15200 loss=2.0735 lr=9.79e-04
[train] epoch=0 step=15250 loss=2.1348 lr=9.79e-04
[train] epoch=0 step=15300 loss=2.2287 lr=9.79e-04
[train] epoch=0 step=15350 loss=2.2411 lr=9.79e-04
[train] epoch=0 step=15400 loss=2.0978 lr=9.79e-04
[train] epoch=0 step=15450 loss=2.1306 lr=9.79e-04
[train] epoch=0 step=15500 loss=2.1041 lr=9.79e-04
[train] epoch=0 step=15550 loss=2.2171 lr=9.79e-04
[train] epoch=0 step=15600 loss=2.1826 lr=9.79e-04
[train] epoch=0 step=15650 loss=2.2796 lr=9.79e-04
[train] epoch=0 step=15700 loss=2.2369 lr=9.79e-04
[train] epoch=0 step=15750 loss=2.2271 lr=9.79e-04
[train] epoch=0 step=15800 loss=2.1870 lr=9.79e-04
[train] epoch=0 step=15850 loss=2.2329 lr=9.79e-04
[train] epoch=0 step=15900 loss=2.2219 lr=9.79e-04
[train] epoch=0 step=15950 loss=2.1945 lr=9.79e-04
[train] epoch=0 step=16000 loss=2.1722 lr=9.79e-04
[train] epoch=0 step=16050 loss=2.1739 lr=9.79e-04
[train] epoch=0 step=16100 loss=2.1778 lr=9.79e-04
[train] epoch=0 step=16150 loss=2.1863 lr=9.79e-04
[train] epoch=0 step=16200 loss=2.1427 lr=9.79e-04
[train] epoch=0 step=16250 loss=2.2501 lr=9.79e-04
[train] epoch=0 step=16300 loss=2.2420 lr=9.79e-04
[train] epoch=0 step=16350 loss=2.1864 lr=9.79e-04
[train] epoch=0 step=16400 loss=2.1458 lr=9.79e-04
[train] epoch=0 step=16450 loss=2.1407 lr=9.79e-04
[train] epoch=0 step=16500 loss=2.1900 lr=9.79e-04
[train] epoch=0 step=16550 loss=2.0897 lr=9.79e-04
[train] epoch=0 step=16600 loss=2.1353 lr=9.79e-04
[train] epoch=0 step=16650 loss=2.0824 lr=9.79e-04
[train] epoch=0 step=16700 loss=2.2984 lr=9.79e-04
[train] epoch=0 step=16750 loss=2.1673 lr=9.79e-04
[train] epoch=0 step=16800 loss=2.2799 lr=9.79e-04
[train] epoch=0 step=16850 loss=2.2422 lr=9.79e-04
[train] epoch=0 step=16900 loss=2.1391 lr=9.79e-04
[train] epoch=0 step=16950 loss=2.1131 lr=9.79e-04
[train] epoch=0 step=17000 loss=1.9993 lr=9.79e-04
[train] epoch=0 step=17050 loss=2.1665 lr=9.79e-04
[train] epoch=0 step=17100 loss=2.1828 lr=9.79e-04
[train] epoch=0 step=17150 loss=2.1610 lr=9.79e-04
[train] epoch=0 step=17200 loss=2.2013 lr=9.79e-04
[train] epoch=0 step=17250 loss=2.0502 lr=9.79e-04
[train] epoch=0 step=17300 loss=2.1953 lr=9.79e-04
[train] epoch=0 step=17350 loss=2.0034 lr=9.79e-04
[train] epoch=0 step=17400 loss=2.0123 lr=9.79e-04
[train] epoch=0 step=17450 loss=2.1534 lr=9.79e-04
[train] epoch=0 step=17500 loss=2.1362 lr=9.79e-04
[train] epoch=0 step=17550 loss=2.1996 lr=9.79e-04
[train] epoch=0 step=17600 loss=2.2181 lr=9.79e-04
[train] epoch=0 step=17650 loss=2.1982 lr=9.79e-04
[train] epoch=0 step=17700 loss=2.1709 lr=9.79e-04
[train] epoch=0 step=17750 loss=2.2148 lr=9.79e-04
[train] epoch=0 step=17800 loss=2.1184 lr=9.79e-04
[train] epoch=0 step=17850 loss=2.1959 lr=9.79e-04
[train] epoch=0 step=17900 loss=2.1115 lr=9.79e-04
[train] epoch=0 step=17950 loss=2.2559 lr=9.79e-04
[train] epoch=0 step=18000 loss=2.0579 lr=9.79e-04
[train] epoch=0 step=18050 loss=2.2083 lr=9.79e-04
[train] epoch=0 step=18100 loss=2.1289 lr=9.79e-04
[train] epoch=0 step=18150 loss=2.1540 lr=9.79e-04
[train] epoch=0 step=18200 loss=2.2818 lr=9.79e-04
[train] epoch=0 step=18250 loss=2.0331 lr=9.79e-04
[train] epoch=0 step=18300 loss=2.1156 lr=9.79e-04
[train] epoch=0 step=18350 loss=2.1662 lr=9.79e-04
[train] epoch=0 step=18400 loss=2.1093 lr=9.79e-04
[train] epoch=0 step=18450 loss=2.2235 lr=9.79e-04
[train] epoch=0 step=18500 loss=2.2014 lr=9.79e-04
[train] epoch=0 step=18550 loss=2.2118 lr=9.79e-04
[train] epoch=0 step=18600 loss=2.2010 lr=9.79e-04
[train] epoch=0 step=18650 loss=2.2598 lr=9.79e-04
[train] epoch=0 step=18700 loss=2.1675 lr=9.79e-04
[train] epoch=0 step=18750 loss=2.2218 lr=9.79e-04
[train] epoch=0 step=18800 loss=2.1361 lr=9.79e-04
[train] epoch=0 step=18850 loss=2.1408 lr=9.79e-04
[train] epoch=0 step=18900 loss=2.1985 lr=9.79e-04
[train] epoch=0 step=18950 loss=2.1134 lr=9.79e-04
[train] epoch=0 step=19000 loss=2.1524 lr=9.79e-04
[train] epoch=0 step=19050 loss=2.1505 lr=9.79e-04
[train] epoch=0 step=19100 loss=2.0698 lr=9.79e-04
[train] epoch=0 step=19150 loss=2.1728 lr=9.79e-04
[train] epoch=0 step=19200 loss=2.1584 lr=9.79e-04
[train] epoch=0 step=19250 loss=2.1541 lr=9.79e-04
[train] epoch=0 step=19300 loss=2.2925 lr=9.79e-04
[train] epoch=0 step=19350 loss=2.0924 lr=9.79e-04
[train] epoch=0 step=19400 loss=2.2949 lr=9.79e-04
[train] epoch=0 step=19450 loss=2.2234 lr=9.79e-04
[train] epoch=0 step=19500 loss=2.1770 lr=9.79e-04
[train] epoch=0 step=19550 loss=2.2604 lr=9.79e-04
[train] epoch=0 step=19600 loss=2.1947 lr=9.79e-04
[train] epoch=0 step=19650 loss=2.1656 lr=9.79e-04
[train] epoch=0 step=19700 loss=2.1000 lr=9.79e-04
[train] epoch=0 step=19750 loss=1.9907 lr=9.79e-04
[train] epoch=0 step=19800 loss=2.1532 lr=9.79e-04
[train] epoch=0 step=19850 loss=2.1615 lr=9.79e-04
[train] epoch=0 step=19900 loss=2.0865 lr=9.79e-04
[train] epoch=0 step=19950 loss=2.1253 lr=9.79e-04
[train] epoch=0 step=20000 loss=2.1391 lr=9.79e-04
[train] epoch=0 step=20050 loss=2.2517 lr=9.79e-04
[train] epoch=0 step=20100 loss=2.0712 lr=9.79e-04
[train] epoch=0 step=20150 loss=2.0916 lr=9.79e-04
[train] epoch=0 step=20200 loss=2.0665 lr=9.79e-04
[train] epoch=0 step=20250 loss=2.2475 lr=9.79e-04
[train] epoch=0 step=20300 loss=2.1678 lr=9.79e-04
[train] epoch=0 step=20350 loss=2.1916 lr=9.79e-04
[train] epoch=0 step=20400 loss=2.0814 lr=9.79e-04
[train] epoch=0 step=20450 loss=2.2398 lr=9.79e-04
[train] epoch=0 step=20500 loss=2.2574 lr=9.79e-04
[train] epoch=0 step=20550 loss=2.1005 lr=9.79e-04
[train] epoch=0 step=20600 loss=2.1325 lr=9.79e-04
[train] epoch=0 step=20650 loss=2.1318 lr=9.79e-04
[train] epoch=0 step=20700 loss=2.1636 lr=9.79e-04
[train] epoch=0 step=20750 loss=2.2192 lr=9.79e-04
[train] epoch=0 step=20800 loss=2.2771 lr=9.79e-04
[train] epoch=0 step=20850 loss=2.1626 lr=9.79e-04
[train] epoch=0 step=20900 loss=2.1898 lr=9.79e-04
[train] epoch=0 step=20950 loss=2.1369 lr=9.79e-04
[train] epoch=0 step=21000 loss=2.1953 lr=9.79e-04
[train] epoch=0 step=21050 loss=2.3127 lr=9.79e-04
[train] epoch=0 step=21100 loss=2.1701 lr=9.79e-04
[train] epoch=0 step=21150 loss=2.0384 lr=9.79e-04
[train] epoch=0 step=21200 loss=2.1608 lr=9.79e-04
[train] epoch=0 step=21250 loss=2.1887 lr=9.79e-04
[train] epoch=0 step=21300 loss=2.2296 lr=9.79e-04
[train] epoch=0 step=21350 loss=2.1438 lr=9.79e-04
[train] epoch=0 step=21400 loss=2.3359 lr=9.79e-04
[train] epoch=0 step=21450 loss=2.1009 lr=9.79e-04
[train] epoch=0 step=21500 loss=2.1388 lr=9.79e-04
[train] epoch=0 step=21550 loss=2.1422 lr=9.79e-04
[train] epoch=0 step=21600 loss=2.2433 lr=9.79e-04
[train] epoch=0 step=21650 loss=2.0934 lr=9.79e-04
[train] epoch=0 step=21700 loss=2.1918 lr=9.79e-04
[train] epoch=0 step=21750 loss=2.1949 lr=9.79e-04
[train] epoch=0 step=21800 loss=2.1326 lr=9.79e-04
[train] epoch=0 step=21850 loss=2.2174 lr=9.79e-04
